"Name","Company","Description"
"AdobeCollabSync","Adobe Systems Incorporated","Acrobat Collaboration Synchronizer 24.5"
"AdobeCollabSync","Adobe Systems Incorporated","Acrobat Collaboration Synchronizer 24.5"
"AggregatorHost",,
"ai","Microsoft Corporation","Artificial Intelligence (AI) Host for the Microsoft? Windows? Operating System and Platform x64."
"AnalyticsSrv","Citrix Systems, Inc.","Citrix Analytics Server"
"ApMsgFwd",,
"ApntEx","ALPSALPINE CO., LTD.","AlpsAlpine Pointing-device Driver for Windows"
"Apoint","ALPSALPINE Co., Ltd.","AlpsAlpine Pointing-device Driver"
"ApplicationFrameHost","Microsoft Corporation","Application Frame Host"
"ApRemote","ALPSALPINE Co., Ltd.","ApRemote"
"armsvc",,
"audiodg",,
"AuthManSvr","Citrix Systems, Inc.","Citrix Authentication Manager"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"chrome","Google LLC","Google Chrome"
"concentr","Citrix Systems, Inc.","Citrix Connection Center"
"conhost",,
"conhost","Microsoft Corporation","Console Window Host"
"conhost","Microsoft Corporation","Console Window Host"
"conhost",,
"conhost",,
"conhost",,
"conhost",,
"conhost",,
"conhost",,
"conhost",,
"conhost","Microsoft Corporation","Console Window Host"
"CrossDeviceService","Microsoft Corporation","Microsoft Cross Device Service"
"csrss",,
"csrss",,
"ctfmon",,
"DDVCollectorSvcApi",,
"DDVDataCollector",,
"DDVRulesProcessor",,
"Dell.DCF.UA.Bradbury.API.SubAgent",,
"Dell.TechHub",,
"Dell.TechHub.Analytics.SubAgent",,
"Dell.TechHub.DataManager.SubAgent",,
"Dell.TechHub.Diagnostics.SubAgent",,
"Dell.TechHub.Instrumentation.SubAgent",,
"Dell.TechHub.Instrumentation.UserProcess",,
"dllhost","Microsoft Corporation","COM Surrogate"
"dllhost","Microsoft Corporation","COM Surrogate"
"dptf_helper","Intel Corporation","Intel(R) Dynamic Platform and Thermal Framework Utility Application"
"dwm",,
"esif_uf",,
"explorer","Microsoft Corporation","Windows Explorer"
"firefox","Mozilla Corporation","Firefox"
"firefox","Mozilla Corporation","Firefox"
"firefox","Mozilla Corporation","Firefox"
"firefox","Mozilla Corporation","Firefox"
"firefox","Mozilla Corporation","Firefox"
"firefox","Mozilla Corporation","Firefox"
"firefox","Mozilla Corporation","Firefox"
"firefox","Mozilla Corporation","Firefox"
"firefox","Mozilla Corporation","Firefox"
"firefox","Mozilla Corporation","Firefox"
"firefox","Mozilla Corporation","Firefox"
"firefox","Mozilla Corporation","Firefox"
"firefox","Mozilla Corporation","Firefox"
"fontdrvhost",,
"fontdrvhost",,
"ftnlsv",,
"ftscanmgrhv",,
"gpscript",,
"gpupdate",,
"HelpPane","Microsoft Corporation","Microsoft Help and Support"
"hidfind","ALPSALPINE  Co., Ltd.","AlpsAlpine Pointing-device Driver"
"HidMonitorSvc",,
"horizon_client_service",,
"HostControlService",,
"HostStorageService",,
"IAStorIcon","Intel Corporation","IAStorIcon"
"iceBar","ComputerTalk Technology Inc.","iceBar"
"Idle",,
"igfxCUIService",,
"igfxEM","Intel Corporation","igfxEM Module"
"IntelCpHDCPSvc",,
"IntelCpHeciSvc",,
"IntelWirelessDockManager","Intel Corporation","Intel? Wireless Dock Manager"
"jhi_service",,
"Kaseya.AdminEndpoint","Kaseya International Limited","Kaseya.AdminEndpoint.exe"
"KaseyaLiveConnect","Kaseya International Limited","Live Connect"
"Lightshot","Skillbrains","Lightshot"
"LMIGuardianSvc",,
"LMS",,
"LocationNotificationWindows","Microsoft Corporation","Location Notification"
"LockApp","Microsoft Corporation","LockApp.exe"
"LsaIso",,
"lsass",,
"lync","Microsoft Corporation","Skype for Business"
"lynchtmlconv","Microsoft Corporation","Microsoft Lync"
"Memory Compression",,
"Microsoft.AAD.BrokerPlugin","Microsoft Corporation","AAD token broker plugin"
"Microsoft.SharePoint","Microsoft Corporation","Microsoft SharePoint"
"MpDefenderCoreService",,
"msedge","Microsoft Corporation","Microsoft Edge"
"msedge","Microsoft Corporation","Microsoft Edge"
"msedge","Microsoft Corporation","Microsoft Edge"
"msedge","Microsoft Corporation","Microsoft Edge"
"msedge","Microsoft Corporation","Microsoft Edge"
"msedge","Microsoft Corporation","Microsoft Edge"
"msedge","Microsoft Corporation","Microsoft Edge"
"msedge","Microsoft Corporation","Microsoft Edge"
"msedge","Microsoft Corporation","Microsoft Edge"
"msedge","Microsoft Corporation","Microsoft Edge"
"msedge","Microsoft Corporation","Microsoft Edge"
"msedge","Microsoft Corporation","Microsoft Edge"
"msedge","Microsoft Corporation","Microsoft Edge"
"msedge","Microsoft Corporation","Microsoft Edge"
"msedge","Microsoft Corporation","Microsoft Edge"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
